tensor(28.6217)
tensor(16.6412)
tensor(18.0460)
tensor(12.4214)
tensor(5.1308)
tensor(1.9746)
tensor(1.3174)
tensor(1.2433)
tensor(0.9329)
tensor(1.3146)
tensor(1.7302)
tensor(0.6941)
tensor(0.3281)
tensor(0.5801)
tensor(0.9158)
tensor(-0.0311)
tensor(0.2452)
tensor(0.2686)
tensor(1.1616)
tensor(1.0831)
tensor(1.1158)
tensor(0.0941)
tensor(-0.1632)
tensor(-0.4934)
tensor(0.2400)
tensor(0.1459)
tensor(0.2649)
tensor(0.4220)
tensor(0.3184)
tensor(0.4552)
tensor(-0.3980)
tensor(-0.2305)
tensor(1.0280)
tensor(0.8970)
tensor(0.5810)
tensor(1.1809)
tensor(0.1094)
tensor(1.2592)
tensor(1.0072)
tensor(1.0701)
tensor(0.5318)
tensor(0.9227)
tensor(0.8262)
tensor(1.1526)
tensor(1.0729)
tensor(1.0349)
tensor(0.7053)
tensor(0.5568)
tensor(0.6442)
tensor(0.2152)
tensor(0.3423)
tensor(0.4402)
tensor(0.8014)
tensor(0.3998)
tensor(0.5503)
tensor(0.7712)
tensor(0.2058)
tensor(0.3172)
tensor(0.4300)
tensor(0.2414)
tensor(0.4139)
tensor(0.1950)
tensor(0.6620)
tensor(0.7140)
tensor(0.7625)
tensor(0.6839)
tensor(0.9216)
tensor(0.8009)
tensor(1.1128)
tensor(0.9429)
tensor(1.0367)
tensor(1.0248)
tensor(0.8472)
tensor(1.2328)
tensor(0.8997)
tensor(0.6480)
tensor(0.7085)
tensor(0.6955)
tensor(0.3951)
tensor(0.3594)
tensor(0.2567)
tensor(0.4251)
tensor(0.1474)
tensor(0.1390)
tensor(0.3054)
tensor(0.3442)
tensor(0.2861)
tensor(0.4241)
tensor(0.8499)
tensor(0.7940)
tensor(0.5860)
tensor(0.9805)
tensor(0.2461)
tensor(0.7874)
tensor(-0.2007)
tensor(1.1641)
tensor(1.3026)
tensor(0.9854)
tensor(1.3294)
tensor(0.7420)
tensor(0.5661)
tensor(0.6690)
tensor(0.8843)
tensor(1.2882)
tensor(0.6161)
tensor(0.6550)
tensor(0.6318)
tensor(0.6596)
tensor(0.6754)
tensor(0.6628)
tensor(1.1420)
tensor(1.0154)
tensor(0.8405)
tensor(0.9488)
tensor(0.9009)
tensor(0.8992)
tensor(0.5072)
tensor(0.2985)
tensor(0.4990)
tensor(0.7887)
tensor(0.6069)
tensor(0.8194)
tensor(1.0315)
tensor(1.2086)
tensor(0.7787)
tensor(0.5410)
tensor(0.3577)
tensor(1.0599)
tensor(0.7887)
tensor(1.0089)
tensor(1.0953)
tensor(0.9110)
tensor(0.7537)
tensor(0.7710)
tensor(1.0312)
tensor(0.8234)
tensor(1.0871)
tensor(1.8566)
tensor(1.3498)
tensor(1.9544)
tensor(2.1570)
tensor(1.8342)
tensor(1.7251)
tensor(1.7945)
tensor(1.4468)
tensor(1.3712)
tensor(2.4327)
tensor(2.0665)
tensor(1.9662)
tensor(2.3549)
tensor(2.7512)
tensor(2.1631)
tensor(2.5739)
tensor(2.6880)
tensor(2.2796)
tensor(2.8557)
tensor(2.7895)
tensor(2.1618)
tensor(2.5792)
tensor(2.8961)
tensor(2.3400)
tensor(2.4639)
tensor(1.8237)
tensor(1.7613)
tensor(1.9719)
tensor(1.5438)
